pkd_code,opis,szczegoly
01.11.Z,"Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu","Obejmuje uprawę zbóż takich jak pszenica, żyto, jęczmień, owies, kukurydza, ryż. Uprawa roślin strączkowych jak groch, fasola, soczewica, bób. Uprawa roślin oleistych na nasiona jak rzepak, słonecznik, soja, len oleisty, gorczyca."
01.12.Z,"Uprawa ryżu","Obejmuje uprawę ryżu na polach nawadnianych i nienawadnianych."
01.13.Z,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych","Obejmuje uprawę warzyw liściowych jak sałata, szpinak, kapusta. Uprawę warzyw owocowych jak pomidory, ogórki, papryka, cukinia, bakłażan. Uprawę roślin korzeniowych jak marchew, burak, pietruszka, seler, rzodkiewka. Uprawę roślin bulwiastych jak ziemniak, batat. Uprawę melonów, arbuzów, dyni."
01.14.Z,"Uprawa trzciny cukrowej","Obejmuje uprawę trzciny cukrowej na plantacjach."
01.15.Z,"Uprawa tytoniu","Obejmuje uprawę tytoniu wszystkich odmian, suszenie i wstępną obróbkę liści tytoniowych w gospodarstwie."
01.16.Z,"Uprawa roślin włóknistych","Obejmuje uprawę bawełny, lnu, konopi, juty, sizalu i innych roślin włóknistych."
01.19.Z,"Pozostałe uprawy rolne inne niż wieloletnie","Obejmuje uprawę roślin przyprawowych, aromatycznych, leczniczych. Uprawę kwiatów ciętych i doniczkowych. Uprawę nasion roślin, buraków cukrowych, traw pastewnych. Uprawę pozostałych roślin jednorocznych i dwuletnich."
01.21.Z,"Uprawa winogron","Obejmuje uprawę winogron do produkcji wina, na stół, na rodzynki. Prowadzenie winnic i sadów winogronowych."
01.22.Z,"Uprawa owoców tropikalnych i podzwrotnikowych","Obejmuje uprawę bananów, mango, ananasów, papai, awokado, fig, daktyli, owoców cytrusowych jak pomarańcze, cytryny, grejpfruty, mandarynki, limonki."
01.24.Z,"Uprawa owoców ziarnkowych i pestkowych","Obejmuje uprawę jabłek, gruszek, śliwek, czereśni, wiśni, brzoskwiń, moreli, nektaryn i innych owoców ziarnkowych i pestkowych. Prowadzenie sadów."
01.25.Z,"Uprawa pozostałych drzew i krzewów owocowych oraz orzechów","Obejmuje uprawę jagód, truskawek, malin, porzeczek, agrestu, borówek, jeżyn, żurawiny. Uprawę orzechów włoskich, laskowych, migdałów, kasztanów jadalnych."
01.41.Z,"Chów i hodowla bydła mlecznego","Obejmuje chów i hodowlę bydła mlecznego, produkcję mleka krowiego, utrzymanie krów dojnych, inseminację bydła."
01.42.Z,"Chów i hodowla pozostałego bydła i bawołów","Obejmuje chów i hodowlę bydła mięsnego, opasowego. Hodowlę bydła zarodowego. Produkcję nasienia bydlęcego."
01.46.Z,"Chów i hodowla świń","Obejmuje chów i hodowlę świń, produkcję prosiąt, tuczników, loch, knurów zarodowych. Tucz trzody chlewnej, fermy świń."
01.47.Z,"Chów i hodowla drobiu","Obejmuje chów i hodowlę kur, gęsi, kaczek, indyków, przepiórek, strusi. Produkcję jaj, mięsa drobiowego. Prowadzenie ferm drobiu, wylęgarni, kurników."
01.50.Z,"Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)","Obejmuje gospodarstwa rolne prowadzące zarówno uprawę roślin jak i hodowlę zwierząt, gdzie żadna z tych działalności nie dominuje. Gospodarstwa mieszane, rolnictwo wielokierunkowe."
02.10.Z,"Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych","Obejmuje zagospodarowanie lasu, zalesianie, odnawianie drzewostanów, pielęgnację lasu, ochronę przeciwpożarową lasu, urządzanie lasu, inwentaryzację leśną, szkółkarstwo leśne, produkcję sadzonek drzew leśnych."
02.20.Z,"Pozyskiwanie drewna","Obejmuje pozyskiwanie drewna okrągłego, tartacznego, papierówki, drewna opałowego. Ścinanie drzew, zrywkę, wywóz drewna. Produkcję drewna w stanie surowym, kłód, pali, kołków."
02.30.Z,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna","Obejmuje zbieranie grzybów, jagód, żurawiny, borówek, jeżyn, owoców leśnych. Zbieranie orzechów, żywicy, korka, kory, mchów, porostów, szyszek. Pozyskiwanie soków drzew, miodu leśnego."
03.11.Z,"Rybołówstwo w wodach morskich","Obejmuje połowy ryb morskich, skorupiaków, mięczaków, krabów, homarów, langust, krewetek. Połowy wielorybów, fok. Pozyskiwanie organizmów morskich jak wodorosty, perły, gąbki naturalne."
03.12.Z,"Rybołówstwo w wodach śródlądowych","Obejmuje połowy ryb słodkowodnych w rzekach, jeziorach, stawach, zbiornikach retencyjnych. Połowy raków, żab. Wędkarstwo komercyjne."
03.21.Z,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich","Obejmuje hodowlę ryb morskich, małży, ostryg, skorupiaków, homarów, krewetek w wodach morskich. Marikulturę, akwakulturę morską. Hodowlę wodorostów morskich."
03.22.Z,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych","Obejmuje hodowlę ryb słodkowodnych jak karp, pstrąg, sum, szczupak, okoń, sandacz, jesiotr. Hodowlę raków, żab. Prowadzenie stawów rybnych, akwakultury słodkowodnej."
10.11.Z,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu","Obejmuje ubój zwierząt rzeźnych: bydła, świń, owiec, kóz, koni. Produkcję mięsa świeżego, chłodzonego, mrożonego. Produkcję skór surowych ze zwierząt rzeźnych. Wytapianie i rafinację tłuszczów zwierzęcych jadalnych. Produkcję mączki mięsnej."
10.12.Z,"Przetwarzanie i konserwowanie mięsa z drobiu","Obejmuje ubój drobiu: kur, gęsi, kaczek, indyków. Produkcję mięsa drobiowego świeżego, chłodzonego, mrożonego. Produkcję pierza i puchu."
